19344	38688	188604
1	1886
1	6552
1	8600
1	10362
1	13131
1	14786
1	16045
1	17269
1	19909
1	21137
1	23009
1	23710
1	24762
1	31715
2	1887
2	6553
2	8601
2	10363
2	13132
2	14787
2	16046
2	17270
2	19910
2	21138
2	23010
2	23711
2	24763
2	31716
3	1888
3	6554
3	8602
3	10364
3	13133
3	14788
3	16047
3	17271
3	19911
3	21139
3	23011
3	23712
3	24764
3	31717
4	1889
4	6555
4	8603
4	10365
4	13134
4	14789
4	16048
4	17272
4	19912
4	21140
4	23012
4	23713
4	24765
4	31718
5	1890
5	6556
5	8604
5	10366
5	13135
5	14790
5	16049
5	17273
5	19913
5	21141
5	23013
5	23714
5	24766
5	31719
6	1891
6	6557
6	8605
6	10367
6	13136
6	14791
6	16050
6	17274
6	19914
6	21142
6	23014
6	23715
6	24767
6	31720
7	1892
7	6558
7	8606
7	10368
7	13137
7	14792
7	16051
7	17275
7	19915
7	21143
7	23015
7	23716
7	24768
7	31721
8	1893
8	6559
8	8607
8	10369
8	13138
8	14793
8	16052
8	17276
8	19916
8	21144
8	23016
8	23717
8	24769
8	31722
9	1894
9	6560
9	8608
9	10370
9	13139
9	14794
9	16053
9	17277
9	19917
9	21145
9	23017
9	23718
9	24770
9	31723
10	1895
10	6561
10	8609
10	10371
10	13140
10	14795
10	16054
10	17278
10	19918
10	21146
10	23018
10	23719
10	24771
10	31724
11	1896
11	6562
11	8610
11	10372
11	13141
11	14796
11	16055
11	17279
11	19919
11	21147
11	23019
11	23720
11	24772
11	31725
12	1897
12	6563
12	8611
12	10373
12	13142
12	14797
12	16056
12	17280
12	19920
12	21148
12	23020
12	23721
12	24773
12	31726
13	1898
13	6564
13	8612
13	10374
13	13143
13	14798
13	16057
13	17281
13	19921
13	21149
13	23021
13	23722
13	24774
13	31727
14	1899
14	6565
14	8613
14	10375
14	13144
14	14799
14	16058
14	17282
14	19922
14	21150
14	23022
14	23723
14	24775
14	31728
15	1900
15	6566
15	8614
15	10376
15	13145
15	14800
15	16059
15	17283
15	19923
15	21151
15	23023
15	23724
15	24776
15	31729
16	1901
16	6567
16	8615
16	10377
16	13146
16	14801
16	16060
16	17284
16	19924
16	21152
16	23024
16	23725
16	24777
16	31730
17	1902
17	6568
17	8616
17	10378
17	13147
17	14802
17	16061
17	17285
17	19925
17	21153
17	23025
17	23726
17	24778
17	31731
18	1903
18	6569
18	8617
18	10379
18	13148
18	14803
18	16062
18	17286
18	19926
18	21154
18	23026
18	23727
18	24779
18	31732
19	1904
19	6570
19	8618
19	10380
19	13149
19	14804
19	16063
19	17287
19	19927
19	21155
19	23027
19	23728
19	24780
19	31733
20	1905
20	6571
20	8619
20	10381
20	13150
20	14805
20	16064
20	17288
20	19928
20	21156
20	23028
20	23729
20	24781
20	31734
21	1906
21	6572
21	8620
21	10382
21	13151
21	14806
21	16065
21	17289
21	19929
21	21157
21	23029
21	23730
21	24782
21	31735
22	1907
22	6573
22	8621
22	10383
22	13152
22	14807
22	16066
22	17290
22	19930
22	21158
22	23030
22	23731
22	24783
22	31736
23	1908
23	6574
23	8622
23	10384
23	13153
23	14808
23	16067
23	17291
23	19931
23	21159
23	23031
23	23732
23	24784
23	31737
24	1909
24	6575
24	8623
24	10385
24	13154
24	14809
24	16068
24	17292
24	19932
24	21160
24	23032
24	23733
24	24785
24	31738
25	1910
25	6576
25	8624
25	10386
25	13155
25	14810
25	16069
25	17293
25	19933
25	21161
25	23033
25	23734
25	24786
25	31739
26	1911
26	6577
26	8625
26	10387
26	13156
26	14811
26	16070
26	17294
26	19934
26	21162
26	23034
26	23735
26	24787
26	31740
27	1912
27	6578
27	8626
27	10388
27	13157
27	14812
27	16071
27	17295
27	19935
27	21163
27	23035
27	23736
27	24788
27	31741
28	1913
28	6579
28	8627
28	10389
28	13158
28	14813
28	16072
28	17296
28	19936
28	21164
28	23036
28	23737
28	24789
28	31742
29	1914
29	6580
29	8628
29	10390
29	13159
29	14814
29	16073
29	17297
29	19937
29	21165
29	23037
29	23738
29	24790
29	31743
30	1915
30	6581
30	8629
30	10391
30	13160
30	14815
30	16074
30	17298
30	19938
30	21166
30	23038
30	23739
30	24791
30	31744
31	1916
31	6582
31	8630
31	10392
31	13161
31	14816
31	16075
31	17299
31	19939
31	21167
31	23039
31	23740
31	24792
31	31745
32	1917
32	6583
32	8631
32	10393
32	13162
32	14817
32	16076
32	17300
32	19940
32	21168
32	23040
32	23741
32	24793
32	31746
33	1918
33	6584
33	8632
33	10394
33	13163
33	14818
33	16077
33	17301
33	19941
33	21169
33	23041
33	23742
33	24794
33	31747
34	1919
34	6585
34	8633
34	10395
34	13164
34	14819
34	16078
34	17302
34	19942
34	21170
34	23042
34	23743
34	24795
34	31748
35	1920
35	6586
35	8634
35	10396
35	13165
35	14820
35	16079
35	17303
35	19943
35	21171
35	23043
35	23744
35	24796
35	31749
36	1921
36	6587
36	8635
36	10397
36	13166
36	14821
36	16080
36	17304
36	19944
36	21172
36	23044
36	23745
36	24797
36	31750
37	1922
37	6588
37	8636
37	10398
37	13167
37	14822
37	16081
37	17305
37	19945
37	21173
37	23045
37	23746
37	24798
37	31751
38	1923
38	6589
38	8637
38	10399
38	13168
38	14823
38	16082
38	17306
38	19946
38	21174
38	23046
38	23747
38	24799
38	31752
39	1924
39	6590
39	8638
39	10400
39	13169
39	14824
39	16083
39	17307
39	19947
39	21175
39	23047
39	23748
39	24800
39	31753
40	1925
40	6591
40	8639
40	10401
40	13170
40	14825
40	16084
40	17308
40	19948
40	21176
40	23048
40	23749
40	24801
40	31754
41	1926
41	6592
41	8640
41	10402
41	13171
41	14826
41	16085
41	17309
41	19949
41	21177
41	23049
41	23750
41	24802
41	31755
42	1927
42	6593
42	8641
42	10403
42	13172
42	14827
42	16086
42	17310
42	19950
