24960	49920	224640
1	8146
1	11694
1	15280
1	20552
1	23896
1	42594
1	47227
2	8147
2	11695
2	15281
2	20553
2	23897
2	42595
2	47228
3	8148
3	11696
3	15282
3	20554
3	23898
3	42596
3	47229
4	8149
4	11697
4	15283
4	20555
4	23899
4	42597
4	47230
5	8150
5	11698
5	15284
5	20556
5	23900
5	42598
5	47231
6	8151
6	11699
6	15285
6	20557
6	23901
6	42599
6	47232
7	8152
7	11700
7	15286
7	20558
7	23902
7	42600
7	47233
8	8153
8	11701
8	15287
8	20559
8	23903
8	42601
8	47234
9	8154
9	11702
9	15288
9	20560
9	23904
9	42602
9	47235
10	8155
10	11703
10	15289
10	20561
10	23905
10	42603
10	47236
11	8156
11	11704
11	15290
11	20562
11	23906
11	42604
11	47237
12	8157
12	11705
12	15291
12	20563
12	23907
12	42605
12	47238
13	8158
13	11706
13	15292
13	20564
13	23908
13	42606
13	47239
14	8159
14	11707
14	15293
14	20565
14	23909
14	42607
14	47240
15	8160
15	11708
15	15294
15	20566
15	23910
15	42608
15	47241
16	8161
16	11709
16	15295
16	20567
16	23911
16	42609
16	47242
17	8162
17	11710
17	15296
17	20568
17	23912
17	42610
17	47243
18	8163
18	11711
18	15297
18	20569
18	23913
18	42611
18	47244
19	8164
19	11712
19	15298
19	20570
19	23914
19	42612
19	47245
20	8165
20	11713
20	15299
20	20571
20	23915
20	42613
20	47246
21	8166
21	11714
21	15300
21	20572
21	23916
21	42614
21	47247
22	8167
22	11715
22	15301
22	20573
22	23917
22	42615
22	47248
23	8168
23	11716
23	15302
23	20574
23	23918
23	42616
23	47249
24	8169
24	11717
24	15303
24	20575
24	23919
24	42617
24	47250
25	8170
25	11718
25	15304
25	20576
25	23920
25	42618
25	47251
26	8171
26	11719
26	15305
26	20577
26	23921
26	42619
26	47252
27	8172
27	11720
27	15306
27	20578
27	23922
27	42620
27	47253
28	8173
28	11721
28	15307
28	20579
28	23923
28	42621
28	47254
29	8174
29	11722
29	15308
29	20580
29	23924
29	42622
29	47255
30	8175
30	11723
30	15309
30	20581
30	23925
30	42623
30	47256
31	8176
31	11724
31	15310
31	20582
31	23926
31	42624
31	47257
32	8177
32	11725
32	15311
32	20583
32	23927
32	42625
32	47258
33	8178
33	11726
33	15312
33	20584
33	23928
33	42626
33	47259
34	8179
34	11727
34	15313
34	20585
34	23929
34	42627
34	47260
35	8180
35	11728
35	15314
35	20586
35	23930
35	42628
35	47261
36	8181
36	11729
36	15315
36	20587
36	23931
36	42629
36	47262
37	8182
37	11730
37	15316
37	20588
37	23932
37	42630
37	47263
38	8183
38	11731
38	15317
38	20589
38	23933
38	42631
38	47264
39	8184
39	11732
39	15318
39	20590
39	23934
39	42632
39	47265
40	8185
40	11733
40	15319
40	20591
40	23935
40	42633
40	47266
41	8186
41	11734
41	15320
41	20592
41	23936
41	42634
41	47267
42	8187
42	11735
42	15321
42	20593
42	23937
42	42635
42	47268
43	8188
43	11736
43	15322
43	20594
43	23938
43	42636
43	47269
44	8189
44	11737
44	15323
44	20595
44	23939
44	42637
44	47270
45	8190
45	11738
45	15324
45	20596
45	23940
45	42638
45	47271
46	8191
46	11739
46	15325
46	20597
46	23941
46	42639
46	47272
47	8192
47	11740
47	15326
47	20598
47	23942
47	42640
47	47273
48	8193
48	11741
48	15327
48	20599
48	23943
48	42641
48	47274
49	8194
49	11742
49	15328
49	20600
49	23944
49	42642
49	47275
50	8195
50	11743
50	15329
50	20601
50	23945
50	42643
50	47276
51	8196
51	11744
51	15330
51	20602
51	23946
51	42644
51	47277
52	8197
52	11745
52	15331
52	20603
52	23947
52	42645
52	47278
53	8198
53	11746
53	15332
53	20604
53	23948
53	42646
53	47279
54	8199
54	11747
54	15333
54	20605
54	23949
54	42647
54	47280
55	8200
55	11748
55	15334
55	20606
55	23950
55	42648
55	47281
56	8201
56	11749
56	15335
56	20607
56	23951
56	42649
56	47282
57	8202
57	11750
57	15336
57	20608
57	23952
57	42650
57	47283
58	8203
58	11751
58	15337
58	20609
58	23953
58	42651
58	47284
59	8204
59	11752
59	15338
59	20610
59	23954
59	42652
59	47285
60	8205
60	11753
60	15339
60	20611
60	23955
60	42653
60	47286
61	8206
61	11754
61	15340
61	20612
61	23956
61	42654
61	47287
62	8207
62	11755
62	15341
62	20613
62	23957
62	42655
62	47288
63	8208
63	11756
63	15342
63	20614
63	23958
63	42656
63	47289
64	8209
64	11757
64	15343
64	20615
64	23959
64	42657
64	47290
65	8210
65	11758
65	15344
65	20616
65	23960
65	42658
65	47291
66	8211
66	11759
66	15345
66	20617
66	23961
66	42659
66	47292
67	8212
67	11760
67	15346
67	20618
67	23962
67	42660
67	47293
68	8213
68	11761
68	15347
68	20619
68	23963
68	42661
68	47294
69	8214
69	11762
69	15348
69	20620
69	23964
69	42662
69	47295
70	8215
70	11763
70	15349
70	20621
70	23965
70	42663
70	47296
71	8216
71	11764
71	15350
71	20622
71	23966
71	42664
71	47297
72	8217
72	11765
72	15351
72	20623
72	23967
72	42665
72	47298
73	8218
73	11766
73	15352
73	20624
73	23968
73	42666
73	47299
74	8219
74	11767
74	15353
74	20625
74	23969
74	42667
74	47300
75	8220
75	11768
75	15354
75	20626
75	23970
75	42668
75	47301
76	8221
76	11769
76	15355
76	20627
76	23971
76	42669
76	47302
77	8222
77	11770
77	15356
77	20628
77	23972
77	42670
77	47303
78	8223
78	11771
78	15357
78	20629
78	23973
78	42671
78	47304
79	8224
79	11772
79	15358
79	20630
79	23974
79	42672
79	47305
80	8225
80	11773
80	15359
80	20631
80	23975
80	42673
80	47306
81	8226
81	11774
81	15360
81	20632
81	23976
81	42674
81	47307
82	8227
82	11775
82	15361
82	20633
82	23977
82	42675
82	47308
83	8228
83	11776
83	15362
83	20634
83	23978
83	42676
83	47309
84	8229
